dataset_id,survey_id,wave_id,respondent_id,age,gender,education,employment,household_income,work_autonomy,institutional_trust,community_participation,survey_weight,work_module
civiclife_2022,civiclife,2022,3020,21,nonbinary_or_other,upper_secondary,employed,51100.0,2.0,,yes,1.07,eligible
civiclife_2022,civiclife,2022,3021,24,woman,tertiary,employed,58400.0,,,no,1.14,eligible
civiclife_2022,civiclife,2022,3022,27,woman,lower_secondary_or_less,employed,65700.0,4.0,,no,1.21,eligible
civiclife_2022,civiclife,2022,3023,30,man,upper_secondary,unemployed,73000.0,,,yes,1.28,not_eligible
civiclife_2022,civiclife,2022,3024,33,man,tertiary,not_in_labor_force,80300.0,,,no,0.72,not_eligible
household_paths_2019,household_paths,2019,4001,19,woman,lower_secondary_or_less,employed,25100.0,2.0,2.0,,0.79,eligible
household_paths_2019,household_paths,2019,4002,22,man,lower_secondary_or_less,employed,32400.0,3.0,3.0,,0.86,eligible
household_paths_2019,household_paths,2019,4003,25,woman,lower_secondary_or_less,employed,39700.0,4.0,4.0,,0.93,eligible
household_paths_2019,household_paths,2019,4004,28,man,lower_secondary_or_less,employed,47000.0,5.0,5.0,,1.0,eligible
household_paths_2019,household_paths,2019,4005,31,woman,upper_secondary,unemployed,54300.0,,1.0,,1.07,not_eligible
household_paths_2019,household_paths,2019,4006,34,man,upper_secondary,not_in_labor_force,61600.0,,2.0,,1.14,not_eligible
household_paths_2019,household_paths,2019,4007,37,woman,,employed,68900.0,3.0,3.0,,1.21,eligible
household_paths_2019,household_paths,2019,4008,40,man,upper_secondary,employed,76200.0,4.0,4.0,,1.28,eligible
household_paths_2019,household_paths,2019,4009,43,woman,tertiary,employed,83500.0,5.0,5.0,,0.72,eligible
household_paths_2019,household_paths,2019,4010,46,man,tertiary,employed,90800.0,1.0,1.0,,0.79,eligible
household_paths_2019,household_paths,2019,4011,49,woman,tertiary,unemployed,98100.0,,2.0,,0.86,not_eligible
household_paths_2019,household_paths,2019,4012,52,man,lower_secondary_or_less,not_in_labor_force,105400.0,,3.0,,0.93,not_eligible
household_paths_2019,household_paths,2019,4013,55,woman,lower_secondary_or_less,employed,112700.0,4.0,4.0,,1.0,eligible
household_paths_2019,household_paths,2019,4014,58,man,lower_secondary_or_less,employed,120000.0,5.0,5.0,,1.07,eligible
household_paths_2019,household_paths,2019,4015,61,woman,lower_secondary_or_less,employed,127300.0,1.0,1.0,,1.14,eligible
household_paths_2019,household_paths,2019,4016,64,man,upper_secondary,employed,134600.0,2.0,,,1.21,eligible
household_paths_2019,household_paths,2019,4017,67,woman,upper_secondary,unemployed,25900.0,,3.0,,1.28,not_eligible
household_paths_2019,household_paths,2019,4018,70,man,upper_secondary,not_in_labor_force,,,4.0,,0.72,not_eligible
household_paths_2019,household_paths,2019,4019,73,woman,upper_secondary,employed,40500.0,5.0,5.0,,0.79,eligible
household_paths_2019,household_paths,2019,4020,18,man,tertiary,employed,47800.0,1.0,1.0,,0.86,eligible
household_paths_2019,household_paths,2019,4021,21,woman,tertiary,employed,55100.0,2.0,2.0,,0.93,eligible
household_paths_2019,household_paths,2019,4022,24,man,tertiary,employed,62400.0,3.0,3.0,,1.0,eligible
household_paths_2019,household_paths,2019,4023,27,woman,lower_secondary_or_less,unemployed,69700.0,,4.0,,1.07,not_eligible
household_paths_2019,household_paths,2019,4024,30,man,lower_secondary_or_less,not_in_labor_force,77000.0,,5.0,,1.14,not_eligible
household_paths_2021,household_paths,2021,5001,21,woman,lower_secondary_or_less,employed,27300.0,2.0,5.0,yes,0.93,eligible
household_paths_2021,household_paths,2021,5002,24,man,upper_secondary,employed,34600.0,1.0,1.0,yes,1.0,eligible
household_paths_2021,household_paths,2021,5003,27,nonbinary_or_other,tertiary,employed,41900.0,5.0,2.0,no,1.07,eligible
household_paths_2021,household_paths,2021,5004,30,woman,lower_secondary_or_less,employed,49200.0,4.0,3.0,no,1.14,eligible
household_paths_2021,household_paths,2021,5005,33,man,upper_secondary,unemployed,,,4.0,no,1.21,not_eligible
household_paths_2021,household_paths,2021,5006,36,nonbinary_or_other,tertiary,not_in_labor_force,63800.0,,5.0,yes,1.28,not_eligible
household_paths_2021,household_paths,2021,5007,39,woman,lower_secondary_or_less,employed,71100.0,1.0,1.0,yes,0.72,eligible
household_paths_2021,household_paths,2021,5008,42,man,upper_secondary,employed,78400.0,5.0,2.0,no,0.79,eligible
household_paths_2021,household_paths,2021,5009,45,nonbinary_or_other,tertiary,employed,85700.0,,3.0,no,0.86,eligible
household_paths_2021,household_paths,2021,5010,48,woman,lower_secondary_or_less,employed,93000.0,3.0,4.0,no,0.93,eligible
household_paths_2021,household_paths,2021,5011,51,man,upper_secondary,unemployed,100300.0,,5.0,yes,1.0,not_eligible
household_paths_2021,household_paths,2021,5012,54,nonbinary_or_other,tertiary,not_in_labor_force,107600.0,,1.0,yes,1.07,not_eligible
household_paths_2021,household_paths,2021,5013,57,woman,lower_secondary_or_less,employed,114900.0,5.0,,no,1.14,eligible
household_paths_2021,household_paths,2021,5014,60,man,upper_secondary,employed,122200.0,4.0,3.0,no,1.21,eligible
household_paths_2021,household_paths,2021,5015,63,nonbinary_or_other,tertiary,employed,129500.0,3.0,4.0,no,1.28,eligible
household_paths_2021,household_paths,2021,5016,66,woman,lower_secondary_or_less,employed,136800.0,2.0,5.0,yes,0.72,eligible
household_paths_2021,household_paths,2021,5017,69,man,upper_secondary,unemployed,28100.0,,1.0,yes,0.79,not_eligible
household_paths_2021,household_paths,2021,5018,72,nonbinary_or_other,tertiary,not_in_labor_force,35400.0,,2.0,no,0.86,not_eligible
household_paths_2021,household_paths,2021,5019,75,woman,lower_secondary_or_less,employed,42700.0,4.0,3.0,no,0.93,eligible
household_paths_2021,household_paths,2021,5020,20,man,upper_secondary,employed,50000.0,3.0,4.0,no,1.0,eligible
household_paths_2021,household_paths,2021,5021,23,nonbinary_or_other,tertiary,employed,57300.0,2.0,5.0,yes,1.07,eligible
household_paths_2021,household_paths,2021,5022,26,woman,lower_secondary_or_less,employed,64600.0,1.0,1.0,yes,1.14,eligible
household_paths_2021,household_paths,2021,5023,29,man,upper_secondary,unemployed,71900.0,,2.0,no,1.21,not_eligible
household_paths_2021,household_paths,2021,5024,32,nonbinary_or_other,tertiary,not_in_labor_force,79200.0,,3.0,no,1.28,not_eligible
values_work_2018,values_work,2018,VW18-001,23,woman,lower_secondary_or_less,employed,29500.0,,3.0,yes,1.07,eligible
values_work_2018,values_work,2018,VW18-002,26,man,upper_secondary,employed,36800.0,,4.0,no,1.14,eligible
values_work_2018,values_work,2018,VW18-003,29,nonbinary_or_other,tertiary,employed,44100.0,,5.0,no,1.21,eligible
values_work_2018,values_work,2018,VW18-004,32,woman,lower_secondary_or_less,employed,51400.0,,1.0,no,1.28,eligible
values_work_2018,values_work,2018,VW18-005,35,man,upper_secondary,unemployed,58700.0,,2.0,yes,0.72,not_eligible
values_work_2018,values_work,2018,VW18-006,38,nonbinary_or_other,tertiary,not_in_labor_force,66000.0,,3.0,no,0.79,not_eligible
values_work_2018,values_work,2018,VW18-007,41,woman,lower_secondary_or_less,employed,73300.0,,4.0,no,0.86,eligible
values_work_2018,values_work,2018,VW18-008,44,man,upper_secondary,employed,80600.0,,5.0,no,0.93,eligible
values_work_2018,values_work,2018,VW18-009,47,nonbinary_or_other,tertiary,employed,87900.0,,1.0,yes,1.0,eligible
values_work_2018,values_work,2018,VW18-010,50,woman,lower_secondary_or_less,employed,95200.0,,2.0,no,1.07,eligible
values_work_2018,values_work,2018,VW18-011,53,man,upper_secondary,unemployed,,,3.0,no,1.14,not_eligible
values_work_2018,values_work,2018,VW18-012,56,nonbinary_or_other,tertiary,not_in_labor_force,109800.0,,4.0,no,1.21,not_eligible
values_work_2018,values_work,2018,VW18-013,59,woman,lower_secondary_or_less,employed,117100.0,,5.0,yes,1.28,eligible
values_work_2018,values_work,2018,VW18-014,62,man,upper_secondary,employed,124400.0,,1.0,no,0.72,eligible
values_work_2018,values_work,2018,VW18-015,65,nonbinary_or_other,tertiary,employed,131700.0,,2.0,no,0.79,eligible
values_work_2018,values_work,2018,VW18-016,68,woman,lower_secondary_or_less,employed,139000.0,,3.0,no,0.86,eligible
values_work_2018,values_work,2018,VW18-017,71,man,upper_secondary,unemployed,30300.0,,,yes,0.93,not_eligible
values_work_2018,values_work,2018,VW18-018,74,nonbinary_or_other,tertiary,not_in_labor_force,37600.0,,5.0,no,1.0,not_eligible
values_work_2018,values_work,2018,VW18-019,19,woman,lower_secondary_or_less,employed,44900.0,,1.0,no,1.07,eligible
values_work_2018,values_work,2018,VW18-020,22,man,upper_secondary,employed,52200.0,,2.0,no,1.14,eligible
values_work_2018,values_work,2018,VW18-021,25,nonbinary_or_other,tertiary,employed,59500.0,,3.0,yes,1.21,eligible
values_work_2018,values_work,2018,VW18-022,28,woman,lower_secondary_or_less,employed,66800.0,,4.0,no,1.28,eligible
values_work_2018,values_work,2018,VW18-023,31,man,upper_secondary,unemployed,74100.0,,5.0,no,0.72,not_eligible
values_work_2018,values_work,2018,VW18-024,34,nonbinary_or_other,tertiary,not_in_labor_force,81400.0,,1.0,no,0.79,not_eligible
values_work_2021,values_work,2021,VW21-001,25,woman,lower_secondary_or_less,employed,,3.0,4.0,yes,,eligible
values_work_2021,values_work,2021,VW21-002,28,man,upper_secondary,employed,,4.0,5.0,no,,eligible
values_work_2021,values_work,2021,VW21-003,31,nonbinary_or_other,tertiary,employed,,5.0,1.0,no,,eligible
values_work_2021,values_work,2021,VW21-004,34,woman,lower_secondary_or_less,employed,,1.0,2.0,yes,,eligible
values_work_2021,values_work,2021,VW21-005,37,man,upper_secondary,unemployed,,,3.0,no,,not_eligible
values_work_2021,values_work,2021,VW21-006,40,nonbinary_or_other,tertiary,not_in_labor_force,,,4.0,no,,not_eligible
values_work_2021,values_work,2021,VW21-007,43,woman,lower_secondary_or_less,employed,,4.0,5.0,yes,,eligible
values_work_2021,values_work,2021,VW21-008,46,man,upper_secondary,employed,,5.0,1.0,no,,eligible
values_work_2021,values_work,2021,VW21-009,49,nonbinary_or_other,tertiary,employed,,1.0,2.0,no,,eligible
values_work_2021,values_work,2021,VW21-010,52,woman,lower_secondary_or_less,employed,,2.0,3.0,yes,,eligible
values_work_2021,values_work,2021,VW21-011,55,man,upper_secondary,unemployed,,,4.0,no,,not_eligible
values_work_2021,values_work,2021,VW21-012,58,nonbinary_or_other,tertiary,not_in_labor_force,,,5.0,no,,not_eligible
values_work_2021,values_work,2021,VW21-013,61,woman,lower_secondary_or_less,employed,,5.0,1.0,yes,,eligible
values_work_2021,values_work,2021,VW21-014,64,man,upper_secondary,employed,,1.0,2.0,no,,eligible
values_work_2021,values_work,2021,VW21-015,67,nonbinary_or_other,tertiary,employed,,,3.0,no,,eligible
values_work_2021,values_work,2021,VW21-016,70,woman,lower_secondary_or_less,employed,,3.0,4.0,yes,,eligible
values_work_2021,values_work,2021,VW21-017,73,man,upper_secondary,unemployed,,,5.0,no,,not_eligible
values_work_2021,values_work,2021,VW21-018,18,nonbinary_or_other,tertiary,not_in_labor_force,,,1.0,no,,not_eligible
values_work_2021,values_work,2021,VW21-019,21,woman,lower_secondary_or_less,employed,,1.0,,yes,,eligible
values_work_2021,values_work,2021,VW21-020,24,man,upper_secondary,employed,,2.0,3.0,no,,eligible
values_work_2021,values_work,2021,VW21-021,27,nonbinary_or_other,tertiary,employed,,3.0,4.0,no,,eligible
values_work_2021,values_work,2021,VW21-022,30,woman,lower_secondary_or_less,employed,,4.0,5.0,yes,,eligible
values_work_2021,values_work,2021,VW21-023,33,man,upper_secondary,unemployed,,,1.0,no,,not_eligible
values_work_2021,values_work,2021,VW21-024,36,nonbinary_or_other,tertiary,not_in_labor_force,,,2.0,no,,not_eligible
