dataset_id,survey_id,wave_id,canonical_variable,source_variable,review_status,executable,transform,routing_indicator,missing_rule_count,review_note,comparability_warning,block_reason,rule_version
household_paths_2019,household_paths,2019,gender,sex_code,approved,True,categorical_recode,,0,,,,1
household_paths_2019,household_paths,2019,household_income,hh_inc_year,approved,True,identity,,1,,,,1
household_paths_2019,household_paths,2019,institutional_trust,trustgov_0_4,approved,True,scale_shift,,1,,,,1
household_paths_2019,household_paths,2019,survey_weight,pweight,approved,True,identity,,0,,,,1
household_paths_2019,household_paths,2019,work_autonomy,job_control,approved,True,identity,work_route,1,,,,1
household_paths_2019,household_paths,2019,work_module,work_route,approved,True,categorical_recode,,0,,,,1
household_paths_2021,household_paths,2021,age,age_yrs,approved,True,identity,,0,,,,1
household_paths_2021,household_paths,2021,community_participation,volunteer,approved,True,categorical_recode,,0,,,,1
household_paths_2021,household_paths,2021,education,qualification,approved,True,categorical_recode,,0,,,,1
household_paths_2021,household_paths,2021,employment,labor_state,approved,True,categorical_recode,,0,,,,1
household_paths_2021,household_paths,2021,gender,gender_text,approved,True,categorical_recode,,0,,,,1
household_paths_2021,household_paths,2021,household_income,annual_hh_resources,approved,True,identity,,1,,,,1
household_paths_2021,household_paths,2021,institutional_trust,public_trust,approved,True,identity,,1,,,,1
household_paths_2021,household_paths,2021,survey_weight,weight,approved,True,identity,,0,,,,1
household_paths_2021,household_paths,2021,work_autonomy,decision_latitude,approved,True,reverse_scale,work_eligible,1,,,,1
household_paths_2021,household_paths,2021,work_module,work_eligible,approved,True,categorical_recode,,0,,,,1
values_work_2018,values_work,2018,age,age_years,approved,True,identity,,0,,,,1
values_work_2018,values_work,2018,community_participation,community_flag,approved,True,categorical_recode,,0,,,,1
values_work_2018,values_work,2018,education,edu_code,approved,True,categorical_recode,,0,,,,1
values_work_2018,values_work,2018,employment,employment_text,approved,True,categorical_recode,,0,,,,1
values_work_2018,values_work,2018,gender,gender_text,approved,True,categorical_recode,,0,,,,1
values_work_2018,values_work,2018,household_income,annual_household_income,approved,True,identity,,1,,,,1
values_work_2018,values_work,2018,institutional_trust,trust_score,approved,True,identity,,1,,,,1
values_work_2018,values_work,2018,survey_weight,sample_weight,approved,True,identity,,0,,,,1
values_work_2018,values_work,2018,work_autonomy,decision_control,unreviewed,False,,,0,Candidate item intentionally awaits human review.,,Candidate item intentionally awaits human review.,1
values_work_2018,values_work,2018,work_module,module_work,approved,True,categorical_recode,,0,,,,1
values_work_2021,values_work,2021,age,respondent_age,approved,True,identity,,0,,,,1
values_work_2021,values_work,2021,community_participation,community_activity,approved,True,categorical_recode,,0,,,,1
values_work_2021,values_work,2021,education,qualification,approved,True,categorical_recode,,0,,,,1
values_work_2021,values_work,2021,employment,employment_code,approved,True,categorical_recode,,0,,,,1
values_work_2021,values_work,2021,gender,gender_code,approved,True,categorical_recode,,0,,,,1
values_work_2021,values_work,2021,household_income,monthly_personal_earnings,ambiguous,False,,,0,Personal monthly earnings cannot replace annual household income without additional evidence.,Unit and resource concept both differ.,Personal monthly earnings cannot replace annual household income without additional evidence.,1
values_work_2021,values_work,2021,institutional_trust,institution_score,approved,True,identity,,1,,,,1
values_work_2021,values_work,2021,survey_weight,,unavailable,False,,,0,This synthetic wave intentionally contains no survey weight.,,This synthetic wave intentionally contains no survey weight.,1
values_work_2021,values_work,2021,work_autonomy,autonomy_score,approved,True,identity,work_route,1,,,,1
values_work_2021,values_work,2021,work_module,work_route,approved,True,identity,,0,,,,1
