dataset_id,survey_id,wave_id,canonical_variable,source_variable,review_status,transform,source_present,rows,raw_nonmissing_n,valid_source_n,declared_missing_n,system_missing_n,structural_missing_n,unexpected_n
household_paths_2019,household_paths,2019,employment,employment_code,approved,categorical_recode,True,24,24,24,0,0,0,0
household_paths_2019,household_paths,2019,gender,sex_code,approved,categorical_recode,True,24,24,24,0,0,0,0
household_paths_2019,household_paths,2019,household_income,hh_inc_year,approved,identity,True,24,24,23,1,0,0,0
household_paths_2019,household_paths,2019,institutional_trust,trustgov_0_4,approved,scale_shift,True,24,24,23,1,0,0,0
household_paths_2019,household_paths,2019,survey_weight,pweight,approved,identity,True,24,24,24,0,0,0,0
household_paths_2019,household_paths,2019,work_autonomy,job_control,approved,identity,True,24,16,16,0,0,8,0
household_paths_2019,household_paths,2019,work_module,work_route,approved,categorical_recode,True,24,24,24,0,0,0,0
household_paths_2021,household_paths,2021,age,age_yrs,approved,identity,True,24,24,24,0,0,0,0
household_paths_2021,household_paths,2021,community_participation,volunteer,approved,categorical_recode,True,24,24,24,0,0,0,0
household_paths_2021,household_paths,2021,education,qualification,approved,categorical_recode,True,24,24,24,0,0,0,0
household_paths_2021,household_paths,2021,employment,labor_state,approved,categorical_recode,True,24,24,24,0,0,0,0
household_paths_2021,household_paths,2021,gender,gender_text,approved,categorical_recode,True,24,24,24,0,0,0,0
household_paths_2021,household_paths,2021,household_income,annual_hh_resources,approved,identity,True,24,24,23,1,0,0,0
household_paths_2021,household_paths,2021,institutional_trust,public_trust,approved,identity,True,24,24,23,1,0,0,0
household_paths_2021,household_paths,2021,survey_weight,weight,approved,identity,True,24,24,24,0,0,0,0
household_paths_2021,household_paths,2021,work_autonomy,decision_latitude,approved,reverse_scale,True,24,16,15,1,0,8,0
household_paths_2021,household_paths,2021,work_module,work_eligible,approved,categorical_recode,True,24,24,24,0,0,0,0
values_work_2018,values_work,2018,age,age_years,approved,identity,True,24,24,24,0,0,0,0
values_work_2018,values_work,2018,community_participation,community_flag,approved,categorical_recode,True,24,24,24,0,0,0,0
values_work_2018,values_work,2018,education,edu_code,approved,categorical_recode,True,24,24,24,0,0,0,0
values_work_2018,values_work,2018,employment,employment_text,approved,categorical_recode,True,24,24,24,0,0,0,0
values_work_2018,values_work,2018,gender,gender_text,approved,categorical_recode,True,24,24,24,0,0,0,0
values_work_2018,values_work,2018,household_income,annual_household_income,approved,identity,True,24,24,23,1,0,0,0
values_work_2018,values_work,2018,institutional_trust,trust_score,approved,identity,True,24,24,23,1,0,0,0
values_work_2018,values_work,2018,survey_weight,sample_weight,approved,identity,True,24,24,24,0,0,0,0
values_work_2018,values_work,2018,work_autonomy,decision_control,unreviewed,,True,24,16,0,0,8,0,0
values_work_2018,values_work,2018,work_module,module_work,approved,categorical_recode,True,24,24,24,0,0,0,0
values_work_2021,values_work,2021,age,respondent_age,approved,identity,True,24,24,24,0,0,0,0
values_work_2021,values_work,2021,community_participation,community_activity,approved,categorical_recode,True,24,24,24,0,0,0,0
values_work_2021,values_work,2021,education,qualification,approved,categorical_recode,True,24,24,24,0,0,0,0
values_work_2021,values_work,2021,employment,employment_code,approved,categorical_recode,True,24,24,24,0,0,0,0
values_work_2021,values_work,2021,gender,gender_code,approved,categorical_recode,True,24,24,24,0,0,0,0
values_work_2021,values_work,2021,household_income,monthly_personal_earnings,ambiguous,,True,24,24,0,0,0,0,0
values_work_2021,values_work,2021,institutional_trust,institution_score,approved,identity,True,24,24,23,1,0,0,0
values_work_2021,values_work,2021,survey_weight,,unavailable,,False,24,0,0,0,0,0,0
values_work_2021,values_work,2021,work_autonomy,autonomy_score,approved,identity,True,24,16,15,1,0,8,0
values_work_2021,values_work,2021,work_module,work_route,approved,identity,True,24,24,24,0,0,0,0
