dataset_id,survey_id,wave_id,canonical_variable,source_variable,missing_class,count
civiclife_2022,civiclife,2022,age,age_yrs,system_missing,0
civiclife_2022,civiclife,2022,age,age_yrs,unexpected_source_value,0
civiclife_2022,civiclife,2022,community_participation,community_part,structural_missing,0
civiclife_2022,civiclife,2022,community_participation,community_part,system_missing,0
civiclife_2022,civiclife,2022,community_participation,community_part,unexpected_source_value,0
civiclife_2022,civiclife,2022,education,edu_level,structural_missing,0
civiclife_2022,civiclife,2022,education,edu_level,system_missing,0
civiclife_2022,civiclife,2022,education,edu_level,unexpected_source_value,0
civiclife_2022,civiclife,2022,employment,employ,structural_missing,0
civiclife_2022,civiclife,2022,employment,employ,system_missing,0
civiclife_2022,civiclife,2022,employment,employ,unexpected_source_value,0
civiclife_2022,civiclife,2022,gender,gender,structural_missing,0
civiclife_2022,civiclife,2022,gender,gender,system_missing,0
civiclife_2022,civiclife,2022,gender,gender,unexpected_source_value,0
civiclife_2022,civiclife,2022,household_income,household_income,not_stated,1
civiclife_2022,civiclife,2022,household_income,household_income,structural_missing,0
civiclife_2022,civiclife,2022,household_income,household_income,system_missing,0
civiclife_2022,civiclife,2022,household_income,household_income,unexpected_source_value,0
civiclife_2022,civiclife,2022,survey_weight,weight,structural_missing,0
civiclife_2022,civiclife,2022,survey_weight,weight,system_missing,0
civiclife_2022,civiclife,2022,survey_weight,weight,unexpected_source_value,0
civiclife_2022,civiclife,2022,work_autonomy,control_score,refused,1
civiclife_2022,civiclife,2022,work_autonomy,control_score,structural_missing,8
civiclife_2022,civiclife,2022,work_autonomy,control_score,system_missing,0
civiclife_2022,civiclife,2022,work_autonomy,control_score,unexpected_source_value,0
civiclife_2022,civiclife,2022,work_module,work_module,structural_missing,0
civiclife_2022,civiclife,2022,work_module,work_module,system_missing,0
civiclife_2022,civiclife,2022,work_module,work_module,unexpected_source_value,0
household_paths_2019,household_paths,2019,age,age,structural_missing,0
household_paths_2019,household_paths,2019,age,age,system_missing,0
household_paths_2019,household_paths,2019,age,age,unexpected_source_value,0
household_paths_2019,household_paths,2019,education,schooling_years,not_stated,1
household_paths_2019,household_paths,2019,education,schooling_years,structural_missing,0
household_paths_2019,household_paths,2019,education,schooling_years,system_missing,0
household_paths_2019,household_paths,2019,education,schooling_years,unexpected_source_value,0
household_paths_2019,household_paths,2019,employment,employment_code,structural_missing,0
household_paths_2019,household_paths,2019,employment,employment_code,system_missing,0
household_paths_2019,household_paths,2019,employment,employment_code,unexpected_source_value,0
household_paths_2019,household_paths,2019,gender,sex_code,structural_missing,0
household_paths_2019,household_paths,2019,gender,sex_code,system_missing,0
household_paths_2019,household_paths,2019,gender,sex_code,unexpected_source_value,0
household_paths_2019,household_paths,2019,household_income,hh_inc_year,not_stated,1
household_paths_2019,household_paths,2019,household_income,hh_inc_year,structural_missing,0
household_paths_2019,household_paths,2019,household_income,hh_inc_year,system_missing,0
household_paths_2019,household_paths,2019,household_income,hh_inc_year,unexpected_source_value,0
household_paths_2019,household_paths,2019,institutional_trust,trustgov_0_4,dont_know,1
household_paths_2019,household_paths,2019,institutional_trust,trustgov_0_4,structural_missing,0
household_paths_2019,household_paths,2019,institutional_trust,trustgov_0_4,system_missing,0
household_paths_2019,household_paths,2019,institutional_trust,trustgov_0_4,unexpected_source_value,0
household_paths_2019,household_paths,2019,survey_weight,pweight,structural_missing,0
household_paths_2019,household_paths,2019,survey_weight,pweight,system_missing,0
household_paths_2019,household_paths,2019,survey_weight,pweight,unexpected_source_value,0
household_paths_2019,household_paths,2019,work_autonomy,job_control,structural_missing,8
household_paths_2019,household_paths,2019,work_autonomy,job_control,system_missing,0
household_paths_2019,household_paths,2019,work_autonomy,job_control,unexpected_source_value,0
household_paths_2019,household_paths,2019,work_module,work_route,structural_missing,0
household_paths_2019,household_paths,2019,work_module,work_route,system_missing,0
household_paths_2019,household_paths,2019,work_module,work_route,unexpected_source_value,0
household_paths_2021,household_paths,2021,age,age_yrs,structural_missing,0
household_paths_2021,household_paths,2021,age,age_yrs,system_missing,0
household_paths_2021,household_paths,2021,age,age_yrs,unexpected_source_value,0
household_paths_2021,household_paths,2021,community_participation,volunteer,structural_missing,0
household_paths_2021,household_paths,2021,community_participation,volunteer,system_missing,0
household_paths_2021,household_paths,2021,community_participation,volunteer,unexpected_source_value,0
household_paths_2021,household_paths,2021,education,qualification,structural_missing,0
household_paths_2021,household_paths,2021,education,qualification,system_missing,0
household_paths_2021,household_paths,2021,education,qualification,unexpected_source_value,0
household_paths_2021,household_paths,2021,employment,labor_state,structural_missing,0
household_paths_2021,household_paths,2021,employment,labor_state,system_missing,0
household_paths_2021,household_paths,2021,employment,labor_state,unexpected_source_value,0
household_paths_2021,household_paths,2021,gender,gender_text,structural_missing,0
household_paths_2021,household_paths,2021,gender,gender_text,system_missing,0
household_paths_2021,household_paths,2021,gender,gender_text,unexpected_source_value,0
household_paths_2021,household_paths,2021,household_income,annual_hh_resources,refused,1
household_paths_2021,household_paths,2021,household_income,annual_hh_resources,structural_missing,0
household_paths_2021,household_paths,2021,household_income,annual_hh_resources,system_missing,0
household_paths_2021,household_paths,2021,household_income,annual_hh_resources,unexpected_source_value,0
household_paths_2021,household_paths,2021,institutional_trust,public_trust,not_stated,1
household_paths_2021,household_paths,2021,institutional_trust,public_trust,structural_missing,0
household_paths_2021,household_paths,2021,institutional_trust,public_trust,system_missing,0
household_paths_2021,household_paths,2021,institutional_trust,public_trust,unexpected_source_value,0
household_paths_2021,household_paths,2021,survey_weight,weight,structural_missing,0
household_paths_2021,household_paths,2021,survey_weight,weight,system_missing,0
household_paths_2021,household_paths,2021,survey_weight,weight,unexpected_source_value,0
household_paths_2021,household_paths,2021,work_autonomy,decision_latitude,dont_know,1
household_paths_2021,household_paths,2021,work_autonomy,decision_latitude,structural_missing,8
household_paths_2021,household_paths,2021,work_autonomy,decision_latitude,system_missing,0
household_paths_2021,household_paths,2021,work_autonomy,decision_latitude,unexpected_source_value,0
household_paths_2021,household_paths,2021,work_module,work_eligible,structural_missing,0
household_paths_2021,household_paths,2021,work_module,work_eligible,system_missing,0
household_paths_2021,household_paths,2021,work_module,work_eligible,unexpected_source_value,0
values_work_2018,values_work,2018,age,age_years,structural_missing,0
values_work_2018,values_work,2018,age,age_years,system_missing,0
values_work_2018,values_work,2018,age,age_years,unexpected_source_value,0
values_work_2018,values_work,2018,community_participation,community_flag,structural_missing,0
values_work_2018,values_work,2018,community_participation,community_flag,system_missing,0
values_work_2018,values_work,2018,community_participation,community_flag,unexpected_source_value,0
values_work_2018,values_work,2018,education,edu_code,structural_missing,0
values_work_2018,values_work,2018,education,edu_code,system_missing,0
values_work_2018,values_work,2018,education,edu_code,unexpected_source_value,0
values_work_2018,values_work,2018,employment,employment_text,structural_missing,0
values_work_2018,values_work,2018,employment,employment_text,system_missing,0
values_work_2018,values_work,2018,employment,employment_text,unexpected_source_value,0
values_work_2018,values_work,2018,gender,gender_text,structural_missing,0
values_work_2018,values_work,2018,gender,gender_text,system_missing,0
values_work_2018,values_work,2018,gender,gender_text,unexpected_source_value,0
values_work_2018,values_work,2018,household_income,annual_household_income,not_stated,1
values_work_2018,values_work,2018,household_income,annual_household_income,structural_missing,0
values_work_2018,values_work,2018,household_income,annual_household_income,system_missing,0
values_work_2018,values_work,2018,household_income,annual_household_income,unexpected_source_value,0
values_work_2018,values_work,2018,institutional_trust,trust_score,not_stated,1
values_work_2018,values_work,2018,institutional_trust,trust_score,structural_missing,0
values_work_2018,values_work,2018,institutional_trust,trust_score,system_missing,0
values_work_2018,values_work,2018,institutional_trust,trust_score,unexpected_source_value,0
values_work_2018,values_work,2018,survey_weight,sample_weight,structural_missing,0
values_work_2018,values_work,2018,survey_weight,sample_weight,system_missing,0
values_work_2018,values_work,2018,survey_weight,sample_weight,unexpected_source_value,0
values_work_2018,values_work,2018,work_module,module_work,structural_missing,0
values_work_2018,values_work,2018,work_module,module_work,system_missing,0
values_work_2018,values_work,2018,work_module,module_work,unexpected_source_value,0
values_work_2021,values_work,2021,age,respondent_age,structural_missing,0
values_work_2021,values_work,2021,age,respondent_age,system_missing,0
values_work_2021,values_work,2021,age,respondent_age,unexpected_source_value,0
values_work_2021,values_work,2021,community_participation,community_activity,structural_missing,0
values_work_2021,values_work,2021,community_participation,community_activity,system_missing,0
values_work_2021,values_work,2021,community_participation,community_activity,unexpected_source_value,0
values_work_2021,values_work,2021,education,qualification,structural_missing,0
values_work_2021,values_work,2021,education,qualification,system_missing,0
values_work_2021,values_work,2021,education,qualification,unexpected_source_value,0
values_work_2021,values_work,2021,employment,employment_code,structural_missing,0
values_work_2021,values_work,2021,employment,employment_code,system_missing,0
values_work_2021,values_work,2021,employment,employment_code,unexpected_source_value,0
values_work_2021,values_work,2021,gender,gender_code,structural_missing,0
values_work_2021,values_work,2021,gender,gender_code,system_missing,0
values_work_2021,values_work,2021,gender,gender_code,unexpected_source_value,0
values_work_2021,values_work,2021,institutional_trust,institution_score,not_stated,1
values_work_2021,values_work,2021,institutional_trust,institution_score,structural_missing,0
values_work_2021,values_work,2021,institutional_trust,institution_score,system_missing,0
values_work_2021,values_work,2021,institutional_trust,institution_score,unexpected_source_value,0
values_work_2021,values_work,2021,work_autonomy,autonomy_score,dont_know,1
values_work_2021,values_work,2021,work_autonomy,autonomy_score,structural_missing,8
values_work_2021,values_work,2021,work_autonomy,autonomy_score,system_missing,0
values_work_2021,values_work,2021,work_autonomy,autonomy_score,unexpected_source_value,0
values_work_2021,values_work,2021,work_module,work_route,structural_missing,0
values_work_2021,values_work,2021,work_module,work_route,system_missing,0
values_work_2021,values_work,2021,work_module,work_route,unexpected_source_value,0
